REV 1:12,εἶδον,n66001012012,ἐπιστρέψας,['n66001012011']
REV 4:8,γέμουσιν,n66004008016,ἔχων,"['n66004008005', 'n66004008006', 'n66004008007', 'n66004008008', 'n66004008009', 'n66004008010', 'n66004008011', 'n66004008012']"
REV 19:20,ἐβλήθησαν,n66019020032,ζῶντες,['n66019020031']
REV 20:15,ἐβλήθη,n66020015012,γεγραμμένος,"['n66020015002', 'n66020015003', 'n66020015004', 'n66020015005', 'n66020015006', 'n66020015007', 'n66020015008', 'n66020015009', 'n66020015010', 'n66020015011']"
REV 1:5,ἀγαπῶντι,n66001005021,ἀγαπῶντι,"['n66001005021', 'n66001005022']"
REV 4:5,καιόμεναι,n66004005015,καιόμεναι,"['n66004005012', 'n66004005013', 'n66004005014', 'n66004005015', 'n66004005016', 'n66004005017', 'n66004005018', 'n66004005019', 'n66004005020', 'n66004005021', 'n66004005022', 'n66004005023', 'n66004005024', 'n66004005025']"
REV 7:5,ἐσφραγισμένοι,n66007005006,ἐσφραγισμένοι,"['n66007005001', 'n66007005002', 'n66007005003', 'n66007005004', 'n66007005005', 'n66007005006']"
REV 21:12,ἔχουσα,n66021012001,ἔχουσα,"['n66021012001', 'n66021012002', 'n66021012003', 'n66021012004', 'n66021012005']"
REV 21:14,ἔχων,n66021014006,ἔχων,"['n66021014002', 'n66021014003', 'n66021014004', 'n66021014005', 'n66021014006', 'n66021014007', 'n66021014008']"
REV 21:19,κεκοσμημένοι,n66021019010,κεκοσμημένοι,"['n66021019001', 'n66021019002', 'n66021019003', 'n66021019004', 'n66021019005', 'n66021019006', 'n66021019007', 'n66021019008', 'n66021019009', 'n66021019010']"
